Sample	tumor.purity	StromalScore	ImmuneScore	ESTIMATEScore	fit	lwr.p	upr.p
1	0.86	-3055.720924	-1015.809251	-4071.530175	0.999973096	0.763515272	1.236430921
2	0.93	-2724.852654	-1342.747646	-4067.6003	0.999968699	0.763510826	1.236426571
3	0.96	-1814.681205	-1214.197638	-3028.878843	0.987166001	0.75061312	1.223718882
4	0.91	-1988.054426	-926.7658736	-2914.8203	0.984354047	0.747785904	1.220922191
5	0.91	-1586.87158	-1319.716001	-2906.587581	0.984140395	0.747571147	1.220709643
6	0.96	-1552.365302	-1292.563451	-2844.928753	0.982494577	0.745917068	1.219072087
7	0.98	-1425.230961	-1375.259832	-2800.490792	0.981258513	0.744675072	1.217841954
8	0.98	-1414.726784	-1309.723505	-2724.450289	0.97904659	0.74245308	1.215640101
9	0.98	-1201.317387	-1498.58446	-2699.901847	0.978306448	0.741709716	1.21490318
10	0.96	-1330.521802	-1318.606145	-2649.127947	0.976735305	0.740131969	1.21333864
11	0.8	-1395.459825	-1225.207586	-2620.667411	0.975830889	0.73922389	1.212437887
12	0.6	-1646.632113	-969.3477586	-2615.979872	0.975680295	0.739072696	1.212287894
13	0.88	-1215.175734	-1400.596167	-2615.771901	0.975673603	0.739065977	1.212281228
14	0.95	-1618.326804	-967.7065503	-2586.033354	0.97470732	0.738095907	1.211318733
15	1	-1101.921102	-1408.210288	-2510.13139	0.972156913	0.735536012	1.208777815
16	0.98	-1060.232204	-1430.875122	-2491.107326	0.971498753	0.734875518	1.208121988
17	0.96	-1268.754754	-1139.412004	-2408.166757	0.968540881	0.731907705	1.205174056
18	0.95	-1238.167834	-1093.110165	-2331.277999	0.965670593	0.729028577	1.202312608
19	0.92	-907.1947952	-1380.919419	-2288.114215	0.964005338	0.727358534	1.200652141
20	0.89	-1079.268876	-1183.920791	-2263.189667	0.963026121	0.726376614	1.199675629
21	0.81	-793.3573947	-1462.678599	-2256.035994	0.962742692	0.726092417	1.199392967
22	1	-1168.625847	-1068.054054	-2236.679901	0.96197048	0.725318147	1.198622813
23	0.96	-906.6468163	-1310.998843	-2217.645659	0.961203535	0.724549207	1.197857864
24	0.94	-1280.526291	-919.9138231	-2200.440114	0.960503817	0.723847708	1.197159926
25	0.93	-1274.055158	-915.6254049	-2189.680563	0.960063132	0.723405922	1.196720342
26	0.94	-1593.241376	-539.9947245	-2133.236101	0.957712094	0.72104926	1.194374928
27	0.95	-1370.842197	-761.6414105	-2132.483608	0.957680307	0.721017399	1.194343214
28	0.98	-1390.299572	-712.3906531	-2102.690225	0.956412363	0.719746596	1.193078131
29	0.94	-1155.340546	-938.3182759	-2093.658822	0.956024392	0.719357772	1.192691012
30	0.9	-989.1950246	-1091.524727	-2080.719751	0.955465627	0.718797799	1.192133455
31	0.94	-1332.434354	-736.2805227	-2068.714877	0.954944122	0.718275186	1.191613059
32	0.97	-944.0090169	-1100.8741	-2044.883117	0.95390006	0.717228961	1.190571159
33	0.94	-1031.934199	-986.9410284	-2018.875227	0.952747341	0.71607394	1.189420743
34	0.99	-1107.734345	-889.7218803	-1997.456226	0.951787583	0.715112332	1.188462835
35	0.81	-1164.725609	-820.9726121	-1985.698221	0.951256722	0.714580472	1.187932971
36	0.96	-1308.118941	-663.6929133	-1971.811854	0.950626117	0.713948706	1.187303529
37	0.94	-1250.322802	-714.3820406	-1964.704843	0.950301847	0.713623848	1.186979847
38	0.95	-1387.791183	-558.730301	-1946.521484	0.949467492	0.71278801	1.186146974
39	0.94	-944.3335738	-960.6119232	-1904.945497	0.947534345	0.710851591	1.184217099
40	0.99	-1324.91266	-561.8224404	-1886.7351	0.946676503	0.709992368	1.183360639
41	0.94	-1048.960074	-831.1897817	-1880.149855	0.946364625	0.709679998	1.183049252
42	0.81	-889.7632618	-982.7648061	-1872.528068	0.946002552	0.709317361	1.182687743
43	0.93	-686.1711538	-1180.756862	-1866.928016	0.945735766	0.709050165	1.182421368
44	0.91	-1096.338905	-758.4186578	-1854.757562	0.945153765	0.708467282	1.181840248
45	0.96	-1064.727579	-767.2613182	-1831.988897	0.94405685	0.707368756	1.180744943
46	0.99	-1272.459994	-545.1135179	-1817.573512	0.943356914	0.706667827	1.180046001
47	0.91	-1016.2114	-764.67886	-1780.89026	0.941556724	0.704865203	1.178248245
48	0.95	-1494.657664	-280.9604579	-1775.618122	0.941295755	0.704603895	1.177987614
49	0.77	-1360.057827	-401.6340799	-1761.691907	0.9406037	0.70391096	1.177296441
50	0.95	-1024.651396	-712.4088682	-1737.060264	0.939370024	0.702675772	1.176064275
51	0.94	-1054.614072	-679.4183047	-1734.032376	0.939217524	0.702523091	1.175911956
52	0.95	-1147.624286	-579.163538	-1726.787824	0.938851899	0.702157036	1.175546762
53	0.85	-1080.491504	-633.1252242	-1713.616729	0.938184447	0.701488816	1.174880079
54	0.95	-1165.250426	-519.6670232	-1684.917449	0.936717956	0.700020711	1.173415201
55	0.91	-1611.994873	-48.74248397	-1660.737357	0.935469484	0.698770946	1.172168022
56	0.92	-1580.668016	-58.64271657	-1639.310733	0.934353331	0.697653697	1.171052964
57	0.96	-1087.474264	-549.8549413	-1637.329205	0.934249642	0.69754991	1.170949374
58	0.96	-740.3883753	-891.1308403	-1631.519216	0.933945164	0.697245144	1.170645184
59	0.85	-1297.483089	-310.1777931	-1607.660882	0.932687724	0.69598656	1.169388888
60	0.92	-927.0224991	-665.0455936	-1592.068093	0.931859733	0.695157853	1.168561613
61	0.98	-879.1165354	-703.9387652	-1583.055301	0.931378919	0.694676637	1.168081201
62	0.52	-834.2924225	-747.145881	-1581.438304	0.931292483	0.694590129	1.167994836
63	0.86	-710.3922853	-822.4669584	-1532.859244	0.928671264	0.691966898	1.16537563
64	0.83	-1277.541961	-245.4950085	-1523.03697	0.928135532	0.691430789	1.164840275
65	0.91	-1237.566036	-265.5280211	-1503.094057	0.92704186	0.690336384	1.163747337
66	0.87	-951.6959573	-545.1106198	-1496.806577	0.926695407	0.689989707	1.163401106
67	0.92	-1374.377318	-76.08460251	-1450.46192	0.924117383	0.687410171	1.160824596
68	0.84	-1145.470685	-266.0737666	-1411.544452	0.921919474	0.685211165	1.158627782
69	0.89	-820.5698044	-582.8092432	-1403.379048	0.921454502	0.684745984	1.15816302
70	0.96	-420.2822827	-975.6991443	-1395.981427	0.921032108	0.684323406	1.157740811
71	0.93	-857.9352734	-535.689927	-1393.6252	0.920897343	0.684188583	1.157606103
72	0.9	-794.5953455	-593.2420925	-1387.837438	0.920565842	0.683856944	1.15727474
73	0.92	-1362.558975	-11.95496714	-1374.513942	0.919800198	0.683090994	1.156509402
74	0.89	-938.4281577	-428.254741	-1366.682899	0.91934854	0.682639165	1.156057914
75	0.91	-750.9187223	-611.4517726	-1362.370495	0.919099302	0.682389836	1.155808767
76	0.9	-818.6116995	-528.157925	-1346.769624	0.918194564	0.681484784	1.154904344
77	0.97	-792.2777894	-553.7934968	-1346.071286	0.918153953	0.681444159	1.154863746
78	0.9	-427.2992451	-917.015269	-1344.314514	0.918051747	0.681341919	1.154761574
79	0.93	-789.8999973	-548.3511676	-1338.251165	0.917698522	0.680988581	1.154408463
80	0.78	-917.024877	-414.2151641	-1331.240041	0.917289178	0.68057911	1.153999246
81	0.82	-781.3152882	-545.1331306	-1326.448419	0.917008861	0.680298709	1.153719012
82	0.94	-881.279064	-417.438873	-1298.717937	0.915377678	0.67866709	1.152088267
83	0.9	-718.1717334	-555.5310354	-1273.702769	0.913893206	0.677182292	1.150604119
84	0.99	-809.613737	-447.5412944	-1257.155031	0.912904442	0.676193348	1.149615536
85	0.94	-701.4831616	-554.5071181	-1255.99028	0.912834642	0.676123537	1.149545748
86	0.86	-720.1916332	-530.211319	-1250.402952	0.912499443	0.675788284	1.149210602
87	0.93	-739.2701825	-501.0645061	-1240.334689	0.911893869	0.675182622	1.148605117
88	0.69	-1130.002445	-107.3501556	-1237.3526	0.911714124	0.675002852	1.148425396
89	0.91	-890.7265372	-344.1543131	-1234.88085	0.911565007	0.674853716	1.148276298
90	0.82	-364.3296803	-866.6231948	-1230.952875	0.911327791	0.67461647	1.148039112
91	0.81	-868.7820885	-358.5548874	-1227.336976	0.911109154	0.674397808	1.147820501
92	0.71	-1154.041878	-71.8646957	-1225.906574	0.911022593	0.674311237	1.14773395
93	0.92	-294.3991785	-931.2244262	-1225.623605	0.911005465	0.674294106	1.147716823
94	0.81	-839.4504849	-383.3049082	-1222.755393	0.910831758	0.674120381	1.147543135
95	0.94	-1103.739019	-117.6538981	-1221.392917	0.910749186	0.6740378	1.147460572
96	0.94	-1141.710653	-78.17465666	-1219.885309	0.910657776	0.673946381	1.147369172
97	0.93	-950.5839218	-253.8093737	-1204.393296	0.909715875	0.673004396	1.146427354
98	0.9	-1251.892823	48.54789857	-1203.344924	0.909651965	0.672940481	1.146363449
99	0.94	-1043.968844	-157.0875501	-1201.056394	0.909512378	0.672800885	1.146223872
100	0.95	-556.6819484	-628.3378339	-1185.019782	0.908531363	0.671819814	1.145242912
101	0.48	-1024.366958	-149.501008	-1173.867966	0.907846199	0.671134627	1.144557771
102	0.74	-971.3800632	-202.230177	-1173.61024	0.907830335	0.671118763	1.144541908
103	0.96	-922.326645	-234.3132368	-1156.639882	0.90678293	0.670071347	1.143494513
104	0.82	-581.4879943	-550.034083	-1131.522077	0.905222341	0.668510795	1.141933886
105	0.9	-880.1275922	-247.6710828	-1127.798675	0.904989955	0.66827842	1.141701489
106	0.92	-774.5330016	-344.5960053	-1119.129007	0.904447814	0.667736311	1.141159318
107	0.93	-941.0580533	-172.7913324	-1113.849386	0.904116946	0.667405465	1.140828427
108	0.89	-1454.477672	349.1416827	-1105.335989	0.903582277	0.666870838	1.140293716
109	0.92	-768.0335736	-335.5675538	-1103.601127	0.903473149	0.666761719	1.140184578
110	0.81	-760.1241244	-340.8606947	-1100.984819	0.903308464	0.666597049	1.140019879
111	0.75	-885.5890966	-205.880857	-1091.469954	0.902708424	0.665997068	1.139419779
112	0.94	-1060.946632	-25.11788166	-1086.064514	0.902366754	0.665655436	1.139078071
113	0.89	-798.7587591	-275.4941572	-1074.252916	0.901618183	0.664906958	1.138329407
114	0.94	-1079.42399	25.85218861	-1053.571802	0.900300972	0.663589942	1.137012002
115	0.86	-671.840676	-372.3860665	-1044.226742	0.899703049	0.662992121	1.136413977
116	0.78	-264.2231252	-761.0251962	-1025.248321	0.898483548	0.661772852	1.135194243
117	0.89	-1041.126663	16.55840508	-1024.568258	0.898439719	0.661729033	1.135150406
118	0.96	-1092.555246	70.56965916	-1021.985587	0.89827319	0.661562539	1.134983842
119	0.93	-323.0717725	-691.9768072	-1015.04858	0.897825259	0.661114703	1.134535815
120	0.9	-841.5729683	-149.037424	-990.6103923	0.896239839	0.659529657	1.132950021
121	0.92	-797.1284278	-190.4283655	-987.5567934	0.896040927	0.659330796	1.132751058
122	0.9	-983.0882706	-1.943436368	-985.031707	0.895876306	0.659166218	1.132586395
123	0.86	-772.4117941	-197.1019426	-969.5137367	0.894861924	0.658152111	1.131571737
124	0.72	-881.3653343	-86.62770612	-967.9930404	0.894762269	0.658052484	1.131472054
125	0.78	-913.7952088	-47.03053985	-960.8257486	0.894291978	0.657582329	1.131001628
126	0.95	-1090.532047	132.2126483	-958.319399	0.894127287	0.657417687	1.130836888
127	0.64	-663.8237581	-283.8423446	-947.6661027	0.893425915	0.656716527	1.130135302
128	0.92	-884.5630863	-58.56513272	-943.1282191	0.893126494	0.6564172	1.129835788
129	0.94	-651.5048383	-287.1984628	-938.7033012	0.892834145	0.656124945	1.129543346
130	0.88	-794.458387	-99.15641855	-893.6148056	0.889833755	0.653125609	1.126541901
131	0.9	-1060.598469	205.6248152	-854.9736534	0.887231378	0.650524282	1.123938475
132	0.88	-265.4063459	-587.6200726	-853.0264185	0.887099481	0.650392441	1.123806521
133	0.86	-424.9488495	-424.7013716	-849.6502212	0.886870621	0.650163679	1.123577562
134	0.94	-670.6645896	-168.196849	-838.8614386	0.886137827	0.649431207	1.122844447
135	0.84	-641.302478	-185.9344429	-827.2369209	0.885345782	0.648639519	1.122052044
136	0.98	-711.4868619	-115.3311702	-826.8180322	0.885317192	0.648610943	1.122023442
137	0.8	-809.8121587	-5.262152684	-815.0743114	0.884514314	0.647808438	1.121220189
138	0.82	-992.2883869	200.2067572	-792.0816297	0.882934773	0.646229662	1.119639883
139	0.85	-915.3001054	132.196683	-783.1034224	0.88231526	0.645610461	1.119020059
140	0.77	-776.4415927	0.254895971	-776.1866968	0.881836949	0.645132394	1.118541503
141	0.98	-674.3582839	-87.8647124	-762.2229963	0.880868549	0.6441645	1.117572599
142	0.86	-909.7404193	156.0525599	-753.6878595	0.880274805	0.643571072	1.116978537
143	0.83	-816.1088295	74.67500334	-741.4338261	0.87941994	0.642716673	1.116123207
144	0.87	-853.4629127	113.9645949	-739.4983177	0.879284655	0.642581462	1.115987848
145	0.95	-831.2594533	107.644031	-723.6154224	0.878171818	0.641469249	1.114874388
146	0.83	-475.6657249	-232.2871603	-707.9528852	0.877069747	0.640367812	1.113771682
147	0.72	-668.1176997	-36.55565677	-704.6733564	0.8768384	0.640136601	1.1135402
148	0.77	-346.7374325	-352.8790582	-699.6164907	0.876481278	0.639779689	1.113182867
149	0.94	-512.4465105	-180.1457708	-692.5922813	0.875984418	0.639283124	1.112685711
150	0.9	-927.1072305	252.3352158	-674.7720147	0.874719717	0.63801919	1.111420244
151	0.96	-682.3226602	12.50631156	-669.8163486	0.87436695	0.637666641	1.11106726
152	0.88	-814.2758554	146.1397807	-668.1360746	0.874247236	0.637547001	1.110947471
153	0.9	-675.9702772	9.440584464	-666.5296927	0.874132736	0.637432572	1.1108329
154	0.88	-747.0171681	83.04892813	-663.9682399	0.87395006	0.63725001	1.11065011
155	0.58	-978.4103371	316.3705118	-662.0398253	0.87381245	0.637112486	1.110512414
156	0.93	159.3936736	-820.1670593	-660.7733857	0.873722039	0.637022132	1.110421947
157	0.79	-969.5612706	315.6446449	-653.9166257	0.873232014	0.636532415	1.109931612
158	0.82	-634.2385275	-14.54397877	-648.7825063	0.872864519	0.636165154	1.109563884
159	0.77	-767.1768438	120.3730883	-646.8037554	0.87272275	0.636023476	1.109422025
160	0.85	-1094.325812	449.907036	-644.4187759	0.872551779	0.635852614	1.109250944
161	0.91	-878.561485	235.2330348	-643.3284502	0.872473581	0.635774467	1.109172696
162	0.85	-650.6963966	7.578431452	-643.1179651	0.872458483	0.635759378	1.109157588
163	0.93	-623.674613	-9.125004761	-632.7996177	0.87171731	0.635018684	1.108415935
164	0.93	-595.0510729	-34.37493285	-629.4260058	0.871474547	0.634776081	1.108173014
165	0.93	-844.9297059	220.6961628	-624.2335431	0.871100484	0.634402263	1.107798706
166	0.91	-567.8513208	-54.50984557	-622.3611664	0.870965475	0.634267343	1.107663607
167	0.95	-608.732477	-10.66005137	-619.3925284	0.870751284	0.634053293	1.107449274
168	0.87	-339.7068953	-267.3975647	-607.10446	0.869862925	0.633165527	1.106560322
169	0.91	-485.5893369	-117.2639057	-602.8532426	0.869554926	0.632857737	1.106252115
170	0.92	-735.6399387	151.5555783	-584.0843604	0.868191085	0.631494828	1.104887341
171	0.85	-394.0755492	-189.1674379	-583.2429871	0.868129792	0.631433578	1.104826006
172	0.86	-514.1172551	-66.36373337	-580.4809885	0.867928491	0.631232417	1.104624566
173	0.86	-581.3048763	16.51444591	-564.7904304	0.866782222	0.63008695	1.103477493
174	0.78	-130.1418791	-432.901948	-563.0438272	0.866654339	0.629959158	1.103349521
175	0.98	-598.3663647	36.21772855	-562.1486362	0.866588774	0.629893639	1.103283909
176	0.92	-740.1757933	178.2047058	-561.9710875	0.866575768	0.629880642	1.103270894
177	0.9	-223.7508642	-333.6612726	-557.4121368	0.866241613	0.629546724	1.102936501
178	0.91	-511.9825833	-40.86805258	-552.8506358	0.865906882	0.629212232	1.102601532
179	0.83	-316.3960728	-236.1321419	-552.5282146	0.865883208	0.629188575	1.10257784
180	0.93	-556.9521183	13.36507782	-543.5870405	0.86522591	0.628531749	1.10192007
181	0.86	-920.020363	378.6948881	-541.3254748	0.865059418	0.628365378	1.101753458
182	0.58	-204.5791958	-335.0474383	-539.6266341	0.86493429	0.62824034	1.101628239
183	0.91	-563.4913448	25.23517242	-538.2561724	0.864833309	0.628139433	1.101527185
184	0.86	-229.3250915	-297.6679099	-526.9930015	0.864002073	0.627308804	1.100695343
185	0.75	-664.0433505	141.4070108	-522.6363397	0.863679913	0.62698688	1.100372946
186	0.87	-519.9642827	2.637531132	-517.3267515	0.863286809	0.626594067	1.099979551
187	0.89	-558.1044191	44.77086048	-513.3335586	0.862990821	0.626298298	1.099683344
188	0.89	-439.4512998	-64.63258716	-504.083887	0.862304068	0.625612058	1.098996078
189	0.87	-1026.350961	523.4553887	-502.8955723	0.862215725	0.625523781	1.098907669
190	0.89	-951.3388283	471.4369896	-479.9018387	0.860501135	0.62381049	1.09719178
191	0.91	-510.9063729	31.45696098	-479.4494119	0.8604673	0.623776681	1.097157919
192	0.93	-895.530741	417.6455414	-477.8851996	0.860350291	0.623659762	1.097040821
193	0.82	-427.0368884	-47.11487892	-474.1517673	0.860070833	0.623380518	1.096761147
194	0.89	-801.2690261	333.578529	-467.6904971	0.859586577	0.622896635	1.096276519
195	0.93	-411.6671336	-46.94004136	-458.6071749	0.858904498	0.622215085	1.09559391
196	0.76	-663.3719334	204.7649598	-458.6069736	0.858904482	0.62221507	1.095593895
197	0.79	-658.548511	200.8124225	-457.7360885	0.858839006	0.622149644	1.095528368
198	0.96	-414.6286058	-41.09459282	-455.7231986	0.858687616	0.621998373	1.09537686
199	0.92	-524.8366224	70.101357	-454.7352654	0.858613286	0.621924101	1.095302472
200	0.83	-466.9900219	14.50173153	-452.4882904	0.858444161	0.621755108	1.095133215
