#1.2											
17256	10										
NAME	Description	s516	s518	s519	s520	s521	s522	s523	s525	s526	s527
C9orf152	C9orf152	4.88153988660284	4.57565580263517	3.73946934512829	3.69599594059742	4.15968982713832	5.11617006173283	5.27321665225433	3.74921392752652	5.32231355969796	4.01548515446765
ELMO2	ELMO2	7.29805445459565	7.55543987815344	7.53320150599833	7.38235462531922	7.30787604149396	7.51715646299996	7.50663300627888	7.65129415094014	6.91346733333244	7.25427219285283
CREB3L1	CREB3L1	5.56916363042613	5.70040574455282	5.95973049166477	5.77000728682516	5.21895944828205	5.9947886397412	5.84755413616516	5.76134365902183	5.46054488610365	5.59372369912472
RPS11	RPS11	13.3899374484656	13.8488195707236	13.6428618149632	13.6546216075186	13.5698283805049	13.7516287407015	13.831743007319	13.5905734589834	13.7657997169439	13.6895071885502
PNMA1	PNMA1	9.34796516830388	10.009190482344	10.4309500411007	9.53986497285229	9.64229908565555	9.67926789254369	10.2708626178569	10.7222365709459	9.01919518959717	9.6915248022172
MMP2	MMP2	7.61819795283405	8.0369145947342	8.9551465843012	10.3875321120751	7.41408452970819	10.3944836288102	8.79175331344101	9.80368476684713	8.67919432160912	6.40390543479188
C10orf90	C10orf90	4.14612736161008	4.24971661631268	4.28354594091333	4.07098812909258	3.99169344820029	4.02664990540032	4.0153013844919	4.11126257229964	4.07227983233601	4.07464193415311
ZHX3	ZHX3	5.56223310618916	5.80043111782874	5.72306375401713	6.20891958148694	5.6346111124355	5.62328194335547	6.0382279426946	5.74254412783152	5.65085475845895	5.29034036701023
ERCC5	ERCC5	8.18912477319036	7.28183015697225	7.77168208980391	8.34281663663435	7.98709274988656	8.52433462418804	8.82864777198195	8.57780958159288	8.78107420658325	7.58263071103231
GPR98	GPR98	4.21826981246694	4.21950134814017	4.25376512477916	4.05742561389605	4.01986928817361	4.0646064414242	4.41149314413347	4.081032161235	3.94724373499429	4.51520077297653
RXFP3	RXFP3	4.61278876190998	4.82801006289283	4.57473752635577	4.39128266622501	4.72291475643408	4.60709514226368	4.60080026917226	4.60183787646096	4.54648767737091	4.53248196762111
