EntrezID	GeneSymbol	Synonyms	GeneName	Chromosome
2	A2M	A2MD|CPAMD5|FWP007|S863-7	alpha-2-macroglobulin	chr12
9	NAT1	AAC1|MNAT|NAT-1|NATI	N-acetyltransferase 1 (arylamine N-acetyltransferase)	chr8
10	NAT2	AAC2|NAT-2|PNAT	N-acetyltransferase 2 (arylamine N-acetyltransferase)	chr8
12	SERPINA3	AACT|ACT|GIG25	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3	chr14
13	AADAC	CES5A1|DAC	arylacetamide deacetylase	chr3
14	AAMP	-	angio-associated, migratory cell protein	chr2
15	AANAT	DSPS|SNAT	aralkylamine N-acetyltransferase	chr17
16	AARS	CMT2N	alanyl-tRNA synthetase	chr16
18	ABAT	GABA-AT|GABAT|NPD009	4-aminobutyrate aminotransferase	chr16
19	ABCA1	ABC-1|ABC1|CERP|HDLDT1|TGD	ATP-binding cassette, sub-family A (ABC1), member 1	chr9
20	ABCA2	ABC2	ATP-binding cassette, sub-family A (ABC1), member 2	chr9
21	ABCA3	ABC-C|ABC3|EST111653|LBM180|SMDP3	ATP-binding cassette, sub-family A (ABC1), member 3	chr16
22	ABCB7	ABC7|ASAT|Atm1p|EST140535	ATP-binding cassette, sub-family B (MDR/TAP), member 7	chrX
23	ABCF1	ABC27|ABC50	ATP-binding cassette, sub-family F (GCN20), member 1	chr6
24	ABCA4	ABC10|ABCR|ARMD2|CORD3|FFM|RMP|RP19|STGD|STGD1	ATP-binding cassette, sub-family A (ABC1), member 4	chr1
25	ABL1	ABL|JTK7|bcr/abl|c-ABL|p150|v-abl	c-abl oncogene 1, non-receptor tyrosine kinase	chr9
26	ABP1	ABP|ABP1|DAO|DAO1|KAO	amine oxidase, copper containing 1	chr7
27	ABL2	ABLL|ARG	c-abl oncogene 2, non-receptor tyrosine kinase	chr1
28	ABO	A3GALNT|A3GALT1|GTB|NAGAT	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)	chr9
29	ABR	MDB	active BCR-related	chr17
30	ACAA1	ACAA|PTHIO|THIO	acetyl-CoA acyltransferase 1	chr3
31	ACACA	ACAC|ACACAD|ACC|ACC1|ACCA	acetyl-CoA carboxylase alpha	chr17
32	ACACB	ACC2|ACCB|HACC275	acetyl-CoA carboxylase beta	chr12
33	ACADL	ACAD4|LCAD	acyl-CoA dehydrogenase, long chain	chr2
34	ACADM	ACAD1|MCAD|MCADH	acyl-CoA dehydrogenase, C-4 to C-12 straight chain	chr1
35	ACADS	ACAD3|SCAD	acyl-CoA dehydrogenase, C-2 to C-3 short chain	chr12
36	ACADSB	2-MEBCAD|ACAD7|SBCAD	acyl-CoA dehydrogenase, short/branched chain	chr10
37	ACADVL	ACAD6|LCACD|VLCAD	acyl-CoA dehydrogenase, very long chain	chr17
38	ACAT1	ACAT|MAT|T2|THIL	acetyl-CoA acetyltransferase 1	chr11
40	ACCN1	ACCN|ACCN1|ASIC2a|BNC1|BNaC1|MDEG|hBNaC1	acid-sensing (proton-gated) ion channel 2	chr17
41	ACCN2	ACCN2|ASIC|BNaC2	acid-sensing (proton-gated) ion channel 1	chr12
43	ACHE	ACEE|ARACHE|N-ACHE|YT	acetylcholinesterase	chr7
47	ACLY	ACL|ATPCL|CLATP	ATP citrate lyase	chr17
48	ACO1	ACONS|IREB1|IREBP|IREBP1|IRP1	aconitase 1, soluble	chr9
51	ACOX1	ACOX|PALMCOX|SCOX	acyl-CoA oxidase 1, palmitoyl	chr17
52	ACP1	HAAP	acid phosphatase 1, soluble	chr2
53	ACP2	-	acid phosphatase 2, lysosomal	chr11
54	ACP5	SPENCDI|TRAP	acid phosphatase 5, tartrate resistant	chr19
55	ACPP	5'-NT|ACP-3|ACP3|PAP	acid phosphatase, prostate	chr3
56	ACRV1	D11S4365|SP-10|SPACA2	acrosomal vesicle protein 1	chr11
58	ACTA1	ACTA|ASMA|CFTD|CFTD1|CFTDM|MPFD|NEM1|NEM2|NEM3	actin, alpha 1, skeletal muscle	chr1
59	ACTA2	AAT6|ACTSA|MYMY5	actin, alpha 2, smooth muscle, aorta	chr10
60	ACTB	BRWS1|PS1TP5BP1	actin, beta	chr7
70	ACTC1	ACTC|ASD5|CMD1R|CMH11|LVNC4	actin, alpha, cardiac muscle 1	chr15
71	ACTG1	ACT|ACTG|BRWS2|DFNA20|DFNA26	actin, gamma 1	chr17
72	ACTG2	ACT|ACTA3|ACTE|ACTL3|ACTSG	actin, gamma 2, smooth muscle, enteric	chr2
81	ACTN4	ACTININ-4|FSGS|FSGS1	actinin, alpha 4	chr19
86	ACTL6A	ACTL6|ARPN-BETA|Arp4|BAF53A|INO80K	actin-like 6A	chr3
87	ACTN1	BDPLT15	actinin, alpha 1	chr14
88	ACTN2	CMD1AA	actinin, alpha 2	chr1
89	ACTN3	-	actinin, alpha 3	chr11
90	ACVR1	ACTRI|ACVR1A|ACVRLK2|ALK2|FOP|SKR1|TSRI	activin A receptor, type I	chr2
91	ACVR1B	ACTRIB|ACVRLK4|ALK4|SKR2	activin A receptor, type IB	chr12
92	ACVR2A	ACTRII|ACVR2	activin A receptor, type IIA	chr2
93	ACVR2B	ACTRIIB|ActR-IIB|HTX4	activin A receptor, type IIB	chr3
94	ACVRL1	ACVRLK1|ALK-1|ALK1|HHT|HHT2|ORW2|SKR3|TSR-I	activin A receptor type II-like 1	chr12
95	ACY1	ACY-1|ACY1D	aminoacylase 1	chr3
97	ACYP1	ACYPE	acylphosphatase 1, erythrocyte (common) type	chr14
98	ACYP2	ACYM|ACYP	acylphosphatase 2, muscle type	chr2
100	ADA	-	adenosine deaminase	chr20
101	ADAM8	CD156|MS2	ADAM metallopeptidase domain 8	chr10
102	ADAM10	AD10|CD156c|HsT18717|MADM|kuz	ADAM metallopeptidase domain 10	chr15
103	ADAR	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	adenosine deaminase, RNA-specific	chr1
104	ADARB1	ADAR2|DRABA2|DRADA2|RED1	adenosine deaminase, RNA-specific, B1	chr21
105	ADARB2	ADAR3|RED2	adenosine deaminase, RNA-specific, B2 (non-functional)	chr10
107	ADCY1	AC1	adenylate cyclase 1 (brain)	chr7
108	ADCY2	AC2|HBAC2	adenylate cyclase 2 (brain)	chr5
112	ADCY6	AC6	adenylate cyclase 6	chr12
113	ADCY7	AC7	adenylate cyclase 7	chr16
115	ADCY9	AC9	adenylate cyclase 9	chr16
116	ADCYAP1	PACAP	adenylate cyclase activating polypeptide 1 (pituitary)	chr18
117	ADCYAP1R1	PAC1|PAC1R|PACAPR|PACAPRI	adenylate cyclase activating polypeptide 1 (pituitary) receptor type I	chr7
118	ADD1	ADDA	adducin 1 (alpha)	chr4
119	ADD2	ADDB	adducin 2 (beta)	chr2
120	ADD3	ADDL	adducin 3 (gamma)	chr10
124	ADH1A	ADH1	alcohol dehydrogenase 1A (class I), alpha polypeptide	chr4
125	ADH1B	ADH2	alcohol dehydrogenase 1B (class I), beta polypeptide	chr4
126	ADH1C	ADH3	alcohol dehydrogenase 1C (class I), gamma polypeptide	chr4
128	ADH5	ADH-3|ADHX|FALDH|FDH|GSH-FDH|GSNOR	alcohol dehydrogenase 5 (class III), chi polypeptide	chr4
130	ADH6	ADH-5	alcohol dehydrogenase 6 (class V)	chr4
131	ADH7	ADH4	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide	chr4
132	ADK	AK	adenosine kinase	chr10
133	ADM	AM	adrenomedullin	chr11
134	ADORA1	RDC7	adenosine A1 receptor	chr1
135	ADORA2A	A2aR|ADORA2|RDC8	adenosine A2a receptor	chr22
136	ADORA2B	ADORA2	adenosine A2b receptor	chr17
140	ADORA3	A3AR|AD026|bA552M11.5	adenosine A3 receptor	chr1
141	ADPRH	ARH1	ADP-ribosylarginine hydrolase	chr3
142	PARP1	ADPRT|ADPRT 1|ADPRT1|ARTD1|PARP|PARP-1|PPOL|pADPRT-1	poly (ADP-ribose) polymerase 1	chr1
143	PARP4	ADPRTL1|ARTD4|PARP-4|PARPL|PH5P|VAULT3|VPARP|VWA5C|p193	poly (ADP-ribose) polymerase family, member 4	chr13
146	ADRA1D	ADRA1|ADRA1A|ADRA1R|ALPHA1|DAR|dJ779E11.2	adrenoceptor alpha 1D	chr20
147	ADRA1B	ADRA1|ALPHA1BAR	adrenoceptor alpha 1B	chr5
148	ADRA1A	ADRA1C|ADRA1L1|ALPHA1AAR	adrenoceptor alpha 1A	chr8
150	ADRA2A	ADRA2|ADRA2R|ADRAR|ALPHA2AAR|ZNF32	adrenoceptor alpha 2A	chr10
151	ADRA2B	ADRA2L1|ADRA2RL1|ADRARL1|ALPHA2BAR|alpha-2BAR	adrenoceptor alpha 2B	chr2
152	ADRA2C	ADRA2L2|ADRA2RL2|ADRARL2|ALPHA2CAR	adrenoceptor alpha 2C	chr4
153	ADRB1	ADRB1R|B1AR|BETA1AR|RHR	adrenoceptor beta 1	chr10
154	ADRB2	ADRB2R|ADRBR|B2AR|BAR|BETA2AR	adrenoceptor beta 2, surface	chr5
155	ADRB3	BETA3AR	adrenoceptor beta 3	chr8
156	ADRBK1	BARK1|BETA-ARK1|GRK2	adrenergic, beta, receptor kinase 1	chr11
157	ADRBK2	BARK2|GRK3	adrenergic, beta, receptor kinase 2	chr22
158	ADSL	AMPS|ASASE|ASL	adenylosuccinate lyase	chr22
159	ADSS	ADEH|ADSS 2	adenylosuccinate synthase	chr1
161	AP2A2	ADTAB|CLAPA2|HIP-9|HIP9|HYPJ	adaptor-related protein complex 2, alpha 2 subunit	chr11
162	AP1B1	ADTB1|AP105A|BAM22|CLAPB2	adaptor-related protein complex 1, beta 1 subunit	chr22
163	AP2B1	ADTB2|AP105B|AP2-BETA|CLAPB1	adaptor-related protein complex 2, beta 1 subunit	chr17
164	AP1G1	ADTG|CLAPG1	adaptor-related protein complex 1, gamma 1 subunit	chr16
165	AEBP1	ACLP	AE binding protein 1	chr7
166	AES	AES-1|AES-2|ESP1|GRG|GRG5|TLE5	amino-terminal enhancer of split	chr19
167	CRISP1	AEGL1|ARP|CRISP-1|HSCRISP1D|HSCRISP1G|HUMARP	cysteine-rich secretory protein 1	chr6
173	AFM	ALB2|ALBA|ALF	afamin	chr4
174	AFP	FETA|HPAFP	alpha-fetoprotein	chr4
175	AGA	AGU|ASRG|GA	aspartylglucosaminidase	chr4
176	ACAN	AGC1|AGCAN|CSPG1|CSPGCP|MSK16|SEDK	aggrecan	chr15
177	AGER	RAGE	advanced glycosylation end product-specific receptor	chr6
178	AGL	GDE	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase	chr1
181	AGRP	AGRT|ART|ASIP2	agouti related protein homolog (mouse)	chr16
182	JAG1	AGS|AHD|AWS|CD339|HJ1|JAGL1	jagged 1	chr20
183	AGT	ANHU|SERPINA8	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	chr1
185	AGTR1	AG2S|AGTR1A|AGTR1B|AT1|AT1AR|AT1B|AT1BR|AT1R|AT2R1|AT2R1A|AT2R1B|HAT1R	angiotensin II receptor, type 1	chr3
186	AGTR2	AT2|ATGR2|MRX88	angiotensin II receptor, type 2	chrX
189	AGXT	AGT|AGT1|AGXT1|PH1|SPAT|SPT|TLH6	alanine-glyoxylate aminotransferase	chr2
190	NR0B1	AHC|AHCH|AHX|DAX-1|DAX1|DSS|GTD|HHG|NROB1|SRXY2	nuclear receptor subfamily 0, group B, member 1	chrX
